no,judul_inovasi,pemda,admin_opd,inisiator,nama_inisiator,bentuk_inovasi,jenis,asta_cipta,urusan_utama,urusan_lain_yang_beririsan,kematangan,tahapan_inovasi,tanggal_input,tanggal_penerapan,tanggal_pengembangan,video,link_video,label_kematangan,lat,lon
335,E Learning CETTAR,Provinsi Jawa Timur,Badan Koordinasi Wilayah Jember Provinsi Jawa Timur (jatimprov.bakorwiljember),OPD,"Anistyo Anggraini, S.S., M.M.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan,Tidak Ada,92.0,Penerapan,2025-07-16,2023-06-14,,Ada,https://www.youtube.com/watch?v=_S2LajrmIqw,Sangat Inovatif,-8.16219682261035,113.7132700429006
336,APEL MANIS ( AMPLOP LEBARAN LARIS MANIS),Provinsi Jawa Timur,SLB Negeri Metesih Kabupaten Madiun (iga2024.slbn.metesih.madiun),ASN,"ETIK PURWATI,S.Pd",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,101.0,Penerapan,2025-07-16,2023-03-10,,Ada,https://res5.tuxedovation.com/4f2cd9951f219d5a1214aeb12f78a0581e1d70f3.mp4,Sangat Inovatif,-7.64740189167807,111.49294073769617
337,SAPINTAS TB (Satu Pintu Tuntaskan Tuberkulosis),Provinsi Jawa Timur,Rumah sakit Umum Daerah dr. Saiful Anwar Malang (jatimprov.rsud.saifulanwar),ASN,"DIDIK NUR WAHYUDI, S.Kep",Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,108.0,Penerapan,2025-07-16,2023-06-01,2023-01-02,Ada,https://res5.tuxedovation.com/3502805be9a21d2bc1c27613b0565f0ea78942ff.mp4,Sangat Inovatif,-7.971384,112.632258
338,SIAP OKE (Sistem Antrean dan Penjadwalan Operasi Elektif),Provinsi Jawa Timur,Rumah Sakit Umum Daerah Dr. Soedono Madiun (jatimprov.rsuddrsoedono),OPD,"Sri Ilfa, S.Kep., Ns",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,110.0,Penerapan,2025-07-16,2023-01-02,,Ada,https://www.youtube.com/watch?v=k6H9X2DPLdA,Sangat Inovatif,-7.626175368166557,111.52452650852462
339,SELAJUR FAST TRACK (SEHAT DENGAN PELAYANAN FAST TRACK UNTUK KELOMPOK RENTAN),Provinsi Jawa Timur,Rumah Sakit Umum Daerah Dr. Soedono Madiun (jatimprov.rsuddrsoedono),OPD,"SRI SUHARTININGSIH, SKep.Ns,MKes",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-04-03,,Ada,https://drive.google.com/file/d/1Tkho-kbwcvcMJzgKS4FnoGy6QzudMzGA/view?ups=drive_link,Sangat Inovatif,-7.626153634106156,111.523961190403
340,SI BAJA (VERIFIKASI BELANJA BIDANG KEUANGAN),Provinsi Jawa Timur,Rumah Sakit Umum Daerah Dr. Soedono Madiun (jatimprov.rsuddrsoedono),OPD,"Tatik Hayati, SE.,MM",Inovasi Tata Kelola Pemerintahan Daerah,Digital,"Memperkuat reformasi politik, hukum, dan birokrasi, serta memperkuat pencegahan dan pemberantasan korupsi dan narkoba.",Keuangan,Tidak Ada,111.0,Penerapan,2025-07-16,2024-06-01,,Ada,https://res5.tuxedovation.com/af16d144300a8153557df5a435812b8f93f68d68.mp4,Sangat Inovatif,-7.626057928635371,111.52387535950756
341,SIGAP Jaga Lindungi Masyarakat Jawa Timur Natal dan Tahun Baru,Provinsi Jawa Timur,Satuan Polisi Pamong Praja Provinsi Jawa Timur (jatimprov.satpolpp),OPD,"Dr. Lilik Herawati, SP., MM.",Inovasi Tata Kelola Pemerintahan Daerah,Digital,"Memperkuat reformasi politik, hukum, dan birokrasi, serta memperkuat pencegahan dan pemberantasan korupsi dan narkoba.","Ketenteraman, Ketertiban Umum, Dan Pelindungan Masyarakat",Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan,111.0,Penerapan,2025-07-16,2023-12-31,2023-12-31,Ada,https://www.youtube.com/live/Ir2RFpl6QCw?si=Wvxc7Qkcbw7GC3pR,Sangat Inovatif,-7.3056894,112.7581566
342,BAPAK PEDULI ANDI DAN SANTI (Bakorwil Pamekasan Peduli Pencegahan Pernikahan Dini dan Stunting),Provinsi Jawa Timur,Badan Koordinasi Wilayah Pamekasan Provinsi Jawa Timur (jatimprov.bakorwilpamekasan),OPD,"Dra. SUFI AGUSTINI, M.Si",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan,Tidak Ada,104.0,Penerapan,2025-07-16,2024-12-31,2024-12-31,Ada,https://res5.tuxedovation.com/7e011e4c74f3acd9cd35a24eb9534e2a9444ec9a.mp4,Sangat Inovatif,-7.158553824257441,113.48272568540575
343,BAKORWIL PAMEKASAN PAREMBAGHAN TARETAN SASARENGAN (KORPAPANTES),Provinsi Jawa Timur,Badan Koordinasi Wilayah Pamekasan Provinsi Jawa Timur (jatimprov.bakorwilpamekasan),OPD,"Dra. Sufi Agustini, M.Si",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan,Tidak Ada,98.0,Penerapan,2025-07-16,2024-01-01,,Ada,https://res5.tuxedovation.com/fba52ced5bb7803f30e74733d14ceab2ad047fdf.mp4,Sangat Inovatif,-7.158553824257441,113.48272568540575
344,Sistem Perizinan Rekomendasi Andalalin Provinsi Jawa Timur (SI ALIN),Provinsi Jawa Timur,Dinas Perhubungan Provinsi Jawa Timur (jatimprov.dishub),OPD,"Dr. Ir. NYONO, S.T., M.T.",Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Perhubungan,Perencanaan,111.0,Penerapan,2025-07-16,2023-11-09,2024-01-09,Ada,https://drive.google.com/file/d/16hfUitXQVIHaHme4JKPF9xkIrIgE7ecc/view?usp=drive_link,Sangat Inovatif,-7.3401509107807605,112.72868805394222
345,"APLIKASI REMINDER STR , SPK DAN PROFIL KEPERAWATAN SESUAI AREA  PRAKTEK (PIONEER)",Provinsi Jawa Timur,Rumah Sakit Umum Daerah Dr. Soedono Madiun (jatimprov.rsuddrsoedono),ASN,"TITING PURWANTI, S.Kep.Ns, MARS",Inovasi Tata Kelola Pemerintahan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,"Kepegawaian,Pendidikan Dan Pelatihan",109.0,Penerapan,2025-07-16,2023-01-02,2023-01-02,Ada,https://drive.google.com/drive/folders/1dSSWhfN6dCVDqcigNYv3J5BXzR1qVT4Y,Sangat Inovatif,-7.626175368166557,111.52452650852462
346,SI RUJAK PONO (SISTEM INFORMASI RUJUKAN PONEK RSUD DR SOEDONO),Provinsi Jawa Timur,Rumah Sakit Umum Daerah Dr. Soedono Madiun (jatimprov.rsuddrsoedono),OPD,"ERNA SUGIHARTI,S.ST",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-12-01,,Ada,https://www.youtube.com/watch?v=ioiqoFMAev8&t=6s,Sangat Inovatif,-7.267972262133978,112.7580877576721
347,KUDA MAGIS (BUKU DAFTAR MAKAN DIGITALISASI),Provinsi Jawa Timur,Rumah Sakit Umum Daerah Dr. Soedono Madiun (jatimprov.rsuddrsoedono),OPD,"DINA NURVITASARI, S.Gz",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2024-05-01,,Ada,https://res5.tuxedovation.com/0b374a3989b842ff995072ab869bb57f123f079d.mp4,Sangat Inovatif,-7.626175368166557,111.52452650852462
348,Aplikasi Virtual Tour,Provinsi Jawa Timur,Rumah Sakit Umum Daerah Dr. Soedono Madiun (jatimprov.rsuddrsoedono),ASN,SIGIT ROBIYANTO,Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Komunikasi Dan Informatika,109.0,Penerapan,2025-07-16,2023-05-22,,Ada,https://www.youtube.com/watch?v=nv5fH7dglVc,Sangat Inovatif,-7.626175368166557,111.52452650852462
349,Larva Maggot Pereduksi Sampah Organik di Instalasi Gizi (LAGI SHANTIG),Provinsi Jawa Timur,Rumah Sakit Umum Daerah dr. Soetomo Surabaya (jatimprov.rsudsoetomo),OPD,"Prof. Dr. Cita Rosita Sigit Prakoeswa, dr. Sp. DVE, Subsp. DAI., FINSDV., FAADV., MARS",Inovasi Pelayanan Publik,Teknologi,"Memantapkan sistem pertahanan keamanan negara dan mendorong kemandirian bangsa melalui swasembada pangan, energi, air, ekonomi kreatif, ekonomi hijau, dan ekonomi biru.",Kesehatan,Lingkungan Hidup,111.0,Penerapan,2025-07-16,2023-01-02,2024-02-01,Ada,https://youtu.be/rn1JE9D58IU?si=KoGFcVBNSf1T5PPQ,Sangat Inovatif,-7.268025468022904,112.75808775178736
350,SISTA EWS (Sistem Tanggap Early Warning Score),Provinsi Jawa Timur,Rumah Sakit Umum Daerah Haji Surabaya (jatimprov.rsudhaji),OPD,"Novia Shinthia Dewi,S.Kep.NS",Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Komunikasi Dan Informatika,111.0,Penerapan,2025-07-16,2023-05-09,2024-01-02,Ada,https://www.youtube.com/watch?v=2n05m7-V40o,Sangat Inovatif,-7.283116234095298,112.77972822502568
351,Sistem Informasi Keluar Rumah Sakit (SIKERIS),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSU Mohammad Noer Pamekasan (jatimprov.dinkes.uptmnoerpamekasan),OPD,"SARIFUDIN, S.Kep.,Ns.,M.Kep.",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Komunikasi Dan Informatika,111.0,Penerapan,2025-07-16,2023-01-02,2024-01-08,Ada,https://res5.tuxedovation.com/fe287ac7e69ce7b793150188baadc3d0d153bc54.mp4,Sangat Inovatif,-7.157017897584539,113.49094391278737
352,Alat Bantu Ibu untuk IMD (ABI),Provinsi Jawa Timur,Rumah Sakit Umum Daerah dr. Soetomo Surabaya (jatimprov.rsudsoetomo),OPD,"Prof.Dr. Cita Rosita Sigit Prakoeswa, dr.Sp.DVE, Subsp.DAI., FINSDV.,FAADV.,MARS",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Pemberdayaan Perempuan Dan Pelindungan Anak,96.0,Penerapan,2025-07-16,2023-05-01,2024-01-01,Ada,https://www.youtube.com/watch?v=YaGiT4uODNg,Sangat Inovatif,-7.26800418275905,112.75799119239565
353,RSUD Mohammad Noer Antar Obat (NO DEBAT),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSU Mohammad Noer Pamekasan (jatimprov.dinkes.uptmnoerpamekasan),OPD,"ULVA ROSYANA, S.Farm.,Apt.",Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Komunikasi Dan Informatika,111.0,Penerapan,2025-07-16,2023-01-02,2024-01-08,Ada,https://www.youtube.com/watch?v=Ig448BgOMT8&t=58s,Sangat Inovatif,-7.157039188065673,113.49080443721277
354,BPJS Akses Berkas Langsung (BABEL),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSU Mohammad Noer Pamekasan (jatimprov.dinkes.uptmnoerpamekasan),OPD,"dr. Nono Infantono, MMRS",Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Komunikasi Dan Informatika,111.0,Penerapan,2025-07-16,2023-01-02,2024-01-08,Ada,https://youtu.be/REhWh0f61BA?si=R21Yem6K78Na9qqO,Sangat Inovatif,-7.157017897584539,113.49094391278737
355,Sistem Informasi Pendapatan Asli Daerah - SIMPAD,Provinsi Jawa Timur,"Dinas Perumahan Rakyat, Kawasan Permukiman dan Cipta Karya Provinsi Jawa Timur (jatimprov.dprkpck)",OPD,"I Nyoman Gunadi, ST., MT.",Inovasi Pelayanan Publik,Digital,Melanjutkan hilirisasi dan industrialisasi untuk meningkatkan nilai tambah di dalam negeri.,Perumahan Rakyat Dan Kawasan Permukiman,"Administrasi Kependudukan Dan Pencatatan Sipil,Komunikasi Dan Informatika,Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan",73.0,Penerapan,2025-07-16,2021-03-02,2023-01-02,Tidak Ada,-,Sangat Inovatif,-7.328932104362564,112.72871013761407
356,DUTA  ASI (Air Susu Ibu),Provinsi Jawa Timur,Rumah Sakit Umum Daerah dr. Soetomo Surabaya (jatimprov.rsudsoetomo),OPD,"Prof. Dr. Cita Rosita Sigit Prakoeswa, dr. Sp. DVE, Subsp. DAI., FINSDV., FAADV., MARS",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Pemberdayaan Perempuan Dan Pelindungan Anak,109.0,Penerapan,2025-07-16,2023-05-01,2024-01-01,Ada,https://youtu.be/Gj-Hlo8XRT8?si=dkycRJPVfaoYeWS1,Sangat Inovatif,-7.267972254860012,112.7579375477705
357,Si Lensa (Sistem Notulensi Kinerja ASN),Provinsi Jawa Timur,Badan Koordinasi Wilayah Jember Provinsi Jawa Timur (jatimprov.bakorwiljember),OPD,"Anistyo Anggraini, S.S., M.M.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan,Tidak Ada,109.0,Penerapan,2025-07-16,2024-10-21,,Ada,https://drive.google.com/file/d/19eOilmspFCoUOiI4pa9d0fucj9UAsh38/view?usp=drive_link,Sangat Inovatif,-8.162248821155325,113.7132700429006
358,TERPIKAJ (Tertib Pelaksanaan dan Pelaporan Kinerja Bakorwil V Jember),Provinsi Jawa Timur,Badan Koordinasi Wilayah Jember Provinsi Jawa Timur (jatimprov.bakorwiljember),OPD,"Evita Dianasukma, ST.,M.Si.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Perencanaan,Tidak Ada,105.0,Penerapan,2025-07-16,2024-06-12,,Ada,https://drive.google.com/file/d/1z744UWcJPKnjGLgYPE4wXBGbXvUuQ1sI/view?usp=sharing,Sangat Inovatif,-8.162255320972978,113.7133948032566
359,DEWA RESI ( Destinasi Wisata Gedung Residen) Bakorwil I Madiun,Provinsi Jawa Timur,Badan Koordinasi Wilayah Madiun Provinsi Jawa Timur (jatimprov.bakorwilmadiun),Kepala Daerah,"R Heru Wahono Santoso S.Sos., M.M",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Kebudayaan,Pariwisata,111.0,Penerapan,2025-07-16,2023-01-02,,Ada,https://www.youtube.com/watch?v=SWLptkclo8I&t=12s,Sangat Inovatif,-7.622287752033701,111.52089379600035
360,INGAT-JO (Pengingat Kontrol Otomatis RS Paru Manguharjo Provinsi Jawa Timur),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Mangun Harjo Madiun (jatimprov.dinkes.uptmangunharjomadiun),OPD,RS Paru Manguharjo Provinsi Jawa Timur,Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-01-02,2023-01-02,Ada,https://res5.tuxedovation.com/c8b1db97639ae99806d0aa8ac637c8447af71690.mp4,Sangat Inovatif,-7.615347805677523,111.52399663653927
361,PAK MOLINO (Paket Modifikasi Linen Operasi),Provinsi Jawa Timur,Rumah sakit Umum Daerah dr. Saiful Anwar Malang (jatimprov.rsud.saifulanwar),ASN,Bambang Suliono,Inovasi Tata Kelola Pemerintahan Daerah,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,105.0,Penerapan,2025-07-16,2023-05-14,2023-05-14,Ada,https://drive.google.com/file/d/1eoy-p5HHzxidvQLJLngQv4yn1D_jCSLU/view,Sangat Inovatif,-7.97270166835332,112.63250442358022
362,SI PAISUCEN (Sistem Informasi Pharmaceutical Supply Chain),Provinsi Jawa Timur,Rumah sakit Umum Daerah dr. Saiful Anwar Malang (jatimprov.rsud.saifulanwar),ASN,Vicky Puspitasari,Inovasi Tata Kelola Pemerintahan Daerah,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,108.0,Penerapan,2025-07-16,2023-07-01,2023-07-01,Ada,https://drive.google.com/file/d/1TC5XgeAERo1Vl_RHc76nkZRL0lyqMTBZ/view,Sangat Inovatif,-7.972737524603357,112.63261658162828
363,PUAS (PULANG DENGAN SENYUMAN),Provinsi Jawa Timur,Rumah Sakit Umum Daerah Dr. Soedono Madiun (jatimprov.rsuddrsoedono),OPD,"Khomsatun, S.Kep., Ns",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-10-01,,Ada,https://www.youtube.com/watch?v=fz67DeV_LIM,Sangat Inovatif,-7.626095613613081,111.52408662710683
364,NGOPI SEHAT (NGOBROL PINTAR SEPUTAR KESEHATAN),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Karsa Husada (jatimprov.dinkes.uptkarsahusada),ASN,DWI SULISTIYANTO SKM,Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-05-11,2023-11-15,Ada,https://www.youtube.com/watch?v=YjlqkoUZBe4,Sangat Inovatif,,
365,Gincu Biru (Gizi Cukup untuk Pasien TB Paru dan DM),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Mangun Harjo Madiun (jatimprov.dinkes.uptmangunharjomadiun),OPD,Unit Gizi Rumah Sakit Paru Manguharjo Provinsi Jawa Timur,Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-01-02,2023-01-02,Ada,https://www.youtube.com/watch?v=YAqnsYQR2JA,Sangat Inovatif,-7.6153265372603025,111.52397517886783
366,MEDICAL TOURISM,Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Karsa Husada (jatimprov.dinkes.uptkarsahusada),OPD,"Dr. dr. MUHAMAD RIZAL, MM, M.Kes",Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-08-07,2023-09-18,Ada,https://drive.google.com/drive/u/2/folders/1xj-KqBrqqA1zLdXfEU0eD5DnwkJFJr04,Sangat Inovatif,,
367,PRESISI OMA (PREsenSI SIswa Online saat MAgang),Provinsi Jawa Timur,SMKN 1 Rengel Tuban (iga2025.smkn1.rengel.tuban),ASN,"TRI ERNI HUDAYAH, S.Pd., M.Pd.",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Komunikasi Dan Informatika,Pendidikan Dan Pelatihan",66.0,Penerapan,2025-07-16,2023-05-15,2023-06-12,Tidak Ada,-,Sangat Inovatif,-7.054327,112.033387
368,Lanjut Paris (Layanan Antar Jemput Pasien Gratis),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Mangun Harjo Madiun (jatimprov.dinkes.uptmangunharjomadiun),OPD,Rumah Sakit Paru Manguharjo Provinsi Jawa Timur,Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-01-03,2023-01-03,Ada,https://res5.tuxedovation.com/49703e5fbcd87b5a86bd063374527524d14a948c.mp4,Sangat Inovatif,-7.6153265372603025,111.52397517886783
369,MY WIU WIU (APK AMBULANCE KARSA),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Karsa Husada (jatimprov.dinkes.uptkarsahusada),ASN,Hajar Setyarini,Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-07-24,2024-07-10,Ada,https://drive.google.com/drive/folders/1me26ZYxa02VCsFq1VUBJGShgtK8PQO97,Sangat Inovatif,,
370,E-LINK CONTROL (ELEKTRONIK LINK CONTROL),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Mangun Harjo Madiun (jatimprov.dinkes.uptmangunharjomadiun),OPD,Rawat Inap RS Paru Manguharjo Provinsi Jawa Timur,Inovasi Pelayanan Publik,Teknologi,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-01-03,2023-01-03,Ada,https://drive.google.com/file/d/1CBk0G0V8MeDxbIgNjOekQHS2IpIqRP8i/view?usp=drive_link,Sangat Inovatif,-7.615305268842028,111.52390007701784
371,CUPSA (CURHATAN PELAYANAN KARSA),Provinsi Jawa Timur,Dinas Kesehatan UPT. RS Karsa Husada (jatimprov.dinkes.uptkarsahusada),ASN,"Sri Hartini, SST, MKM",Inovasi Pelayanan Publik,Teknologi,"Memperkokoh ideologi Pancasila, demokrasi, dan hak asasi manusia (HAM).",Kesehatan,Tidak Ada,111.0,Penerapan,2025-07-16,2023-01-16,2024-05-07,Ada,https://drive.google.com/file/d/1xt1k2M2RQc54Rsq3aMXuKfZKSGn0QmgC/view?usp=sharing,Sangat Inovatif,,
372,EXPRES BAHARI + (Extra Pelayanan Teleconference Bedah Sehari Plus),Provinsi Jawa Timur,Dinas Kesehatan UPT. RSU Mohammad Noer Pamekasan (jatimprov.dinkes.uptmnoerpamekasan),OPD,"M. Angga Noto Susanto Mukti, Sp.B, FINACH",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Kesehatan,Sosial,108.0,Penerapan,2025-07-16,2023-01-02,2024-01-01,Ada,https://res5.tuxedovation.com/ffcd2bc7d1661865c2a0032d44428fabad5db83b.mp4,Sangat Inovatif,-7.157017897584539,113.49094391278737
